data,score,city,comment,nick
2018-08-19,5,威海,敢问豆瓣是个什么鬼东西？敢给我的爱情公寓打这么低的分，都被水军淹了吧！进去的时候一个个的笑的比谁都开心，，人家招你惹你了？,tlx147584766
2018-08-19,4,东莞,Emm。。爱情公寓确实是笑点少了很多，也不过是把爱情公寓跟盗墓笔记混在一起拍成了玄幻剧而已。特效在国产确实是一级棒，美嘉的一句“敢动我男人”也是比较打动我的。,邹大大圣
2018-08-19,4.5,长春,"只有我觉得挺好看吗，为什么那么多差评?
如果重来我还会去看，谢谢",Ry南下
2018-08-19,5,海口,十年青春，不舍，希望导演能把爱情公寓继续播下去,vVy658621335
2018-08-19,5,成都,好！！！随便没有延续，还是很好。,轩辕萌萌
2018-08-19,3,丰城,感觉全都是广告....,姗子呀i
2018-08-19,2,泸州,卖情怀，诶，我有点失望,tep883827693
2018-08-19,5,天津,幸好我是稻米,13820647373
2018-08-19,5,呼和浩特,虽然融合了盗墓笔记的内容    但还是爱情公寓的风格啊   对我来说足够了,eaS851612185
2018-08-19,3,九江,开始以为走错片场，看到后面发现是爱情公寓走错片场客串盗墓笔记🧐，嗯、就是这样了,涯、ovo
2018-08-19,1.5,深圳,就算忽略原剧的关联来看，也是一部不合格的喜剧,wSh105019329
2018-08-19,0.5,昆明,电影真心不好看。,权姬
2018-08-19,5,重庆,那个陪我一起看爱情公寓的人走了   可我最想跟你一起看ly   这几年没有你  很想你~,吴世勋2
2018-08-19,2,邛崃,没有达到预期想象,VAC322707167
2018-08-19,5,松原,期待了很久，结果……,荣达rd
2018-08-19,3,新郑,嗯，电影看起来略尴尬，演员之间的的互动也不如往日亲切自然，都说这电影卖的是情怀，这下算是信了，不过重新看见爱情公寓的熟悉面孔，也是值了。,不羁大葱
2018-08-19,5,金坛,盗墓笔记和爱情公寓结合体，小贤和一菲，美嘉和子乔有很大的进展enmmm就这样好看!!!,扉·玖
